Time,UKQuarterlyHPI,UKEmp,UKUnEmp,UKMonthlyHousePrice,RegCBI,RegCC,BusinessBirths,ConstructionOutput_TNH,ConstructionOutput_ANW,ConstructionOutput_AW,Unemployment,Employment,PublicEMP,WorkforceJobs,Exports,Imports,OvernightVisits,Spending,Scot_IncComp,Scot_GDP,Scot_LabourProductivity,Scot_RetailSales,Scot_CSI_current,PayrollEMP,PayrollPayMedian,HousePrice,PMIAC,PMINB,PMIOB,PMICH,PMIPR,PMIEM,HousingRental,PMIFU
Tcode,5,1,1,5,1,1,5,5,5,5,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
lag ,0,2,2,2,1,0,1,2,2,2,2,2,3,3,4,4,5,5,2,5,1,1,1,0,0,2,0,0,0,0,0,0,0,0
1999,0.00756,71.9,6.2,0.002592811,-99999999,5.2,-99999999,-0.029207271,-0.046876807,-0.041054625,7.4,69.2,-99999999,-0.000881817,-99999999,-99999999,-99999999,-99999999,-99999999,0.000919748,0.004643825,-99999999,-99999999,-99999999,-99999999,-0.037542602,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1999.25,0.016,71.9,6,0.018038867,-99999999,5.1,-99999999,0.018483406,0.045196749,0.027311794,7.1,69.3,-99999999,0.000176507,-99999999,-99999999,-99999999,-99999999,-99999999,-0.000201316,-0.000980151,-99999999,-99999999,-99999999,-99999999,0.052004785,-99999999,-1.00E+08,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1999.5,0.01435,72.1,5.9,0.024703016,-99999999,4.9,-99999999,0.010723865,0.020145997,0.023771886,6.9,69.7,-99999999,0.001761132,-99999999,-99999999,-99999999,-99999999,-99999999,0.001958571,0.005972096,-99999999,-99999999,-99999999,-99999999,0.052643734,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1999.75,0.01345,72.3,5.8,0.010988063,-99999999,4.7,-99999999,0.049973975,0.024979793,0.02592376,7.1,69.5,-99999999,0.001929032,-99999999,-99999999,-99999999,-99999999,-99999999,0.004698734,0.00850284,-99999999,-99999999,-99999999,-99999999,0,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
2000,0.01745,72.3,5.8,0.010995384,-99999999,4.7,-99999999,0.058778001,0.033212984,0.040826276,7.5,69.8,-99999999,-0.001226574,-99999999,-99999999,-99999999,-99999999,-99999999,0.004319057,0.00317633,-99999999,-99999999,-99999999,-99999999,-0.004819286,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
2000.25,0.01916,72.5,5.5,0.023041304,-99999999,4.5,-99999999,0.005462896,-0.011752843,-0.044473641,7,70.4,-99999999,-0.000702458,-99999999,-99999999,-99999999,-99999999,-99999999,-0.000104276,0.006783555,-99999999,-99999999,-99999999,-99999999,-0.004842624,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
2000.5,-0.00143,72.6,5.3,0.008108112,-99999999,4.3,-99999999,-0.016599262,0.023538094,0.023673828,6.6,71.1,-99999999,0.005588104,-99999999,-99999999,-99999999,-99999999,-99999999,0.000353272,0.003600193,-99999999,-99999999,-99999999,-99999999,0.006451635,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
2000.75,0.0037,72.5,5.2,0.012766777,-99999999,4.3,-99999999,0.013876403,-0.009332592,0.020090761,6.3,71.6,-99999999,0.006030768,-99999999,-99999999,-99999999,-99999999,-99999999,-0.001656537,0.004365277,-99999999,-99999999,-99999999,-99999999,-0.001609011,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
2001,0.01232,72.6,5.1,-0.002270496,-99999999,4,-99999999,-0.040029122,-0.049931368,-0.002609808,6,71.5,-99999999,0.003748348,-99999999,-99999999,-99999999,-99999999,-99999999,0.0013123,0.008280457,-99999999,-99999999,-99999999,-99999999,0.04717856,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
2001.25,0.01853,72.7,5,0.015405653,-99999999,3.8,-99999999,0.069080919,0.024758252,-0.011086921,6.2,71.5,-99999999,0.006231984,-99999999,-99999999,-99999999,-99999999,-99999999,0.000323801,0.004195233,-99999999,-99999999,-99999999,-99999999,-0.025672355,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
2001.5,0.01658,72.5,5.1,0.015349387,-99999999,3.8,-99999999,0.008850558,-0.004091884,-0.021262542,6.7,71.1,-99999999,-0.001339899,-99999999,-99999999,-99999999,-99999999,-99999999,0.004550357,0.003615376,-99999999,-99999999,-99999999,-99999999,0.027973852,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
2001.75,0.00702,72.6,5.2,-0.008807589,-99999999,3.9,-99999999,-0.007575096,0.004831739,0.012633075,6.7,70.9,-99999999,0.001507096,-99999999,-99999999,-99999999,-99999999,-99999999,0.006492479,0.006632284,-99999999,-99999999,-99999999,-99999999,0.007633625,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
2002,0.01305,72.5,5.2,0.02890144,-99999999,3.8,-99999999,0.007575096,-0.016959423,-0.01007689,6.6,70.7,-99999999,-0.001339383,-99999999,-99999999,-99999999,-99999999,-99999999,-0.000928255,0.002981514,-99999999,-99999999,-99999999,-99999999,0.059327964,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
2002.25,0.0356,72.7,5.2,0.034277673,-99999999,3.8,-99999999,0.025518344,0.020639907,0.006827477,6.3,71.3,-99999999,-0.000167714,-99999999,-99999999,-99999999,-99999999,-99999999,0.001992792,0.004597605,-99999999,-99999999,-99999999,-99999999,0.080412818,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
2002.5,0.02971,72.6,5.3,0.023399454,-99999999,3.7,-99999999,0.007023784,0.013708107,0.032381768,6.4,71.6,-99999999,0.001339899,-99999999,-99999999,-99999999,-99999999,-99999999,0.005239144,0.009179674,-99999999,-99999999,-99999999,-99999999,0.026294241,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
2002.75,0.01958,72.9,5.1,0.021853652,-99999999,3.7,-99999999,0.034583421,0.021814512,0.003709959,6.1,72.4,-99999999,-0.000669433,-99999999,-99999999,-99999999,-99999999,-99999999,0.000901766,0.003292459,-99999999,-99999999,-99999999,-99999999,0.034016885,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
2003,0.01472,72.7,5.2,0.001395325,-99999999,3.7,-99999999,0.020933907,-0.007150443,0.002991179,5.9,72.3,-99999999,0.002338514,-99999999,-99999999,-99999999,-99999999,-99999999,0.001624251,0.00780153,-99999999,-99999999,-99999999,-99999999,-0.047077585,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
2003.25,0.01928,72.9,4.9,0.008279097,-99999999,3.7,-99999999,0.025787612,0.032086582,0.024950954,5.3,72.8,-99999999,0.000998379,-99999999,-99999999,-99999999,-99999999,-99999999,0.003220816,0.006539243,-99999999,-99999999,-99999999,-99999999,0.07429576,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
2003.5,0.01491,72.8,5,0.013788285,-99999999,3.7,-99999999,0.079020723,0.039591716,0.026456272,5.9,72.3,-99999999,0.001658881,-99999999,-99999999,-99999999,-99999999,-99999999,0.005275589,0.010777794,-99999999,-99999999,-99999999,-99999999,0.06000221,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
2003.75,0.01365,72.8,4.9,0.011111225,-99999999,3.6,-99999999,0.029481299,0.01824077,0.015801542,5.8,71.9,-99999999,0.003134523,-99999999,-99999999,-99999999,-99999999,-99999999,0.000358212,-0.0013402,-99999999,-99999999,-99999999,-99999999,0.056604834,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
2004,0.02004,73,4.8,-0.000645791,-99999999,3.5,-99999999,0.029713126,0.017505422,0.012392658,5.8,72.5,-99999999,-0.001977065,-99999999,-99999999,-99999999,-99999999,-99999999,0.007237182,0.008589173,-99999999,-99999999,-99999999,-99999999,0.055417583,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
2004.25,0.02479,72.9,4.8,0.032069262,-99999999,3.4,-99999999,0.010382036,0.008495028,-0.001529881,6,72.8,-99999999,-0.000661027,-99999999,-99999999,-99999999,-99999999,-99999999,0.001006962,0.007149282,-99999999,-99999999,-99999999,-99999999,0.128243047,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
2004.5,0.01444,72.9,4.7,0.013300292,-99999999,3.3,-99999999,0.034183012,0.014223478,0.014320768,5.2,73.2,-99999999,0.000826126,-99999999,-99999999,-99999999,-99999999,-99999999,-0.000761363,0.007280562,-99999999,-99999999,-99999999,-99999999,0.007679898,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
2004.75,-0.00289,73,4.7,-0.000582555,-99999999,3.2,-99999999,0.039838239,0.014757178,0.012605015,5.6,73.2,-99999999,0.003616402,-99999999,-99999999,-99999999,-99999999,-99999999,0.003745941,0.007104448,-99999999,-99999999,-99999999,-99999999,0.03806515,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
