,UKQuarterlyHPI,UKEmp,UKUnEmp,UKMonthlyHousePrice,RegCBI,RegCC,BusinessBirths,ConstructionOutput_TNH,ConstructionOutput_ANW,ConstructionOutput_AW,Unemployment,Employment,PublicEMP,WorkforceJobs,Exports,Imports,OvernightVisits,Spending,PayrollEMP,PayrollPayMedian,HousePrice,PMIAC,PMINB,PMIOB,PMICH,PMIPR,PMIEM,HousingRental,PMIFU
Tcode,5,1,1,5,1,1,5,5,5,5,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
lag ,0,2,2,2,1,0,1,2,2,2,2,2,3,3,4,4,5,5,0,0,2,0,0,0,0,0,0,0,0
1967,0.00672,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1967.25,0.00661,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1967.5,0.00759,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1967.75,0.00852,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1968,0.00732,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1968.25,0.01024,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1968.5,0.00603,-99999999,-99999999,0.014477824,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.047006042,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1968.75,0.00398,-99999999,-99999999,-0.002379702,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.00508907,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1969,0.0059,-99999999,-99999999,0.00710034,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1969.25,0.00582,-99999999,-99999999,0.006986121,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-0.025708356,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1969.5,0.00288,-99999999,-99999999,0.004595752,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.030771658,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1969.75,0.00853,-99999999,-99999999,0.004547628,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.077708985,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1970,0.00652,-99999999,-99999999,0.00225608,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-0.038099847,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1970.25,0.00733,-99999999,-99999999,0.006698762,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.038099847,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1970.5,0.00542,-99999999,-99999999,0.01949779,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.045670037,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
