Time,UKQuarterlyHPI,UKEmp,UKUnEmp,UKMonthlyHousePrice,RegCBI,RegCC,BusinessBirths,ConstructionOutput_TNH,ConstructionOutput_ANW,ConstructionOutput_AW,Unemployment,Employment,PublicEMP,WorkforceJobs,Exports,Imports,PayrollEMP,PayrollPayMedian,HousePrice,PMIAC,PMINB,PMIOB,PMICH,PMIPR,PMIEM,HousingRental,PMIFU
Tcode,5,1,1,5,1,1,5,5,5,5,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
lag ,0,2,2,2,1,0,1,2,2,2,2,2,3,3,4,4,0,0,2,0,0,0,0,0,0,0,0
1985.25,0.01255,67.4,11.4,0.015567777,-99999999,11.2,-99999999,-0.020933907,0.010323275,-0.005338191,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.014184635,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1985.5,0.00664,67.5,11.3,0.009079658,-99999999,11.4,-99999999,0.045757491,0.029574419,0.022429829,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1985.75,0.00912,67.5,11.3,0.014723257,-99999999,11.6,-99999999,0.018885344,-0.033968667,-0.008833413,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.054808237,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1986,0.00257,67.6,11.3,0.008600172,-99999999,11.9,-99999999,-0.054049761,-0.013455983,-0.019778648,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-0.020202708,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1986.25,0.01635,67.6,11.3,0.019428552,-99999999,11.9,-99999999,0.093759132,0.044693229,0.019034356,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.05299253,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1986.5,0.01427,67.8,11.4,0.018596488,-99999999,11.8,-99999999,0.012468641,0.009485748,0.02812183,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.00643089,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1986.75,0.01498,67.9,11.3,0.012811976,-99999999,11.6,-99999999,-0.025305865,0.022209369,0.014420588,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.037740328,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1987,0.01391,68.1,11.1,0.012444819,-99999999,11.3,-99999999,-0.050609993,0.010071048,0.01656549,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-0.00619197,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1987.25,0.02181,68.5,10.7,0.019198462,-99999999,10.9,-99999999,0.084033749,0.043761878,0.020941555,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.024541109,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1987.5,0.01438,69.1,10.2,0.020630002,-99999999,10.4,-99999999,0.109591045,0.051901952,0.039077346,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.053109825,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1987.75,-0.00077,69.7,9.7,0.024987471,-99999999,9.8,-99999999,0.006204312,0.039117696,0.031658585,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-0.002868609,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1988,0.00715,70.2,9.2,0.017850231,-99999999,9.4,-99999999,-0.031947817,-0.033168363,-0.006363403,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.040491362,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1988.25,0.0355,70.7,8.7,0.025470819,-99999999,9,-99999999,0.086848687,0.03225502,-0.005375,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.00790518,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
